Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de1	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de2	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de3	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de4	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de5	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de6	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de7	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de8	383	1	58192	383	383	383	383	1	58192	383	383	383	383	383	1	58192	383	416	416	416	416	1	58158	416	0			0			0	58158	58575	59,95	44,89													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de9	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de1312	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de¡4	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	del	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	del2	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	del3	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	del4	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	del5	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	desambiguacion	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Descripcion	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	desde	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	domesticada	866	1	16638	866	866	866	866	1	16638	866	866	866	866	866	1	16638	866	883	883	883	883	1	16622	883	0			0			0	16622	17504	43,22	35,21													
