Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de1	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de2	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de3	133	1	50843	133	133	133	133	1	50843	133	133	133	133	133	1	50843	133	183	183	183	183	1	50793	183	0			0			0		50976		50,51													
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de4	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de5	83	1	50643	83	83	83	83	1	50643	83	83	83	83	83	1	50643	83	133	133	133	133	1	50593	133	0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de6	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de7	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de8	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de9	0	0		0				0			0				0			0				0			0			0			0																	
Recording1	Participant1	Timeline1-Mode1	PatataClaro	1	PatataClaro	de1312	0	0		0				0			0				0			0				0			0			0			0																	
