AOI,Oscuro_Total,Oscuro_Mean,Oscuro_Std,Claro_Total,Claro_Mean,Claro_Std,t_statistic,p_value,Significant,Difference_%
Andes,0.0,0.0,0.0,10.0,0.29411764705882354,0.5239368319955838,-3.2732683535398857,0.0016940722415513545,Yes,-100.0
mojados,14.0,0.4117647058823529,0.7433603905453459,0.0,0.0,0.0,3.2299006276534463,0.0019317236704651133,Yes,0.0
escritos,0.0,0.0,0.0,14.0,0.4117647058823529,0.7433603905453459,-3.2299006276534463,0.0019317236704651133,Yes,-100.0
nombre,0.0,0.0,0.0,14.0,0.4117647058823529,0.7433603905453459,-3.2299006276534463,0.0019317236704651133,Yes,-100.0
resistente,23.0,0.6764705882352942,1.2240169397543907,0.0,0.0,0.0,3.2225595334237727,0.0019749280016623885,Yes,0.0
TiraDeMochilas,81.0,2.3823529411764706,4.3346014872737655,0.0,0.0,0.0,3.204766444465039,0.002083438227599998,Yes,0.0
siglo1,0.0,0.0,0.0,11.0,0.3235294117647059,0.5888143317638868,-3.203869768108962,0.0020890519333858575,Yes,-100.0
resistente1,11.0,0.3235294117647059,0.5888143317638868,0.0,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
cabina2,11.0,0.3235294117647059,0.5888143317638868,0.0,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
trasero,11.0,0.3235294117647059,0.5888143317638868,0.0,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
Qantas,11.0,0.3235294117647059,0.5888143317638868,0.0,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
los3,0.0,0.0,0.0,11.0,0.3235294117647059,0.5888143317638868,-3.203869768108962,0.0020890519333858575,Yes,-100.0
acolchado,11.0,0.3235294117647059,0.5888143317638868,0.0,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
region,0.0,0.0,0.0,11.0,0.3235294117647059,0.5888143317638868,-3.203869768108962,0.0020890519333858575,Yes,-100.0
hombros2,11.0,0.3235294117647059,0.5888143317638869,0.0,0.0,0.0,3.2038697681089614,0.0020890519333858623,Yes,0.0
compartimento4,22.0,0.6470588235294118,1.1776286635277737,0.0,0.0,0.0,3.2038697681089614,0.0020890519333858623,Yes,0.0
lago,0.0,0.0,0.0,11.0,0.3235294117647059,0.5888143317638869,-3.2038697681089614,0.0020890519333858623,Yes,-100.0
malla,11.0,0.3235294117647059,0.5888143317638869,0.0,0.0,0.0,3.2038697681089614,0.0020890519333858623,Yes,0.0
Ryanair,13.0,0.38235294117647056,0.6969503213613096,0.0,0.0,0.0,3.198910364942378,0.0021203577367244087,Yes,0.0
tuberosa,0.0,0.0,0.0,13.0,0.38235294117647056,0.6969503213613096,-3.198910364942378,0.0021203577367244087,Yes,-100.0
tiempo,13.0,0.38235294117647056,0.6969503213613096,0.0,0.0,0.0,3.198910364942378,0.0021203577367244087,Yes,0.0
lateral,13.0,0.38235294117647056,0.6969503213613096,0.0,0.0,0.0,3.198910364942378,0.0021203577367244087,Yes,0.0
patata,0.0,0.0,0.0,13.0,0.38235294117647056,0.6969503213613096,-3.198910364942378,0.0021203577367244087,Yes,-100.0
capacidad,20.0,0.5882352941176471,1.0764038630051154,0.0,0.0,0.0,3.1865100272627664,0.0022005697690624993,Yes,0.0
conquistadores,0.0,0.0,0.0,24.0,0.7058823529411765,1.2916846356061382,-3.186510027262767,0.0022005697690624993,Yes,-100.0
poliester,12.0,0.35294117647058826,0.6458423178030691,0.0,0.0,0.0,3.186510027262767,0.0022005697690624993,Yes,0.0
ajusta,8.0,0.23529411764705882,0.4305615452020461,0.0,0.0,0.0,3.186510027262766,0.0022005697690625037,Yes,0.0
planta,0.0,0.0,0.0,12.0,0.35294117647058826,0.6458423178030692,-3.186510027262766,0.0022005697690625037,Yes,-100.0
todo,0.0,0.0,0.0,8.0,0.23529411764705882,0.4305615452020461,-3.186510027262766,0.0022005697690625037,Yes,-100.0
pertenencias1,16.0,0.47058823529411764,0.8611230904040922,0.0,0.0,0.0,3.186510027262766,0.0022005697690625037,Yes,0.0
traves,0.0,0.0,0.0,8.0,0.23529411764705882,0.4305615452020461,-3.186510027262766,0.0022005697690625037,Yes,-100.0
frontal,17.0,0.5,0.9293203772845852,0.0,0.0,0.0,3.1372129770160484,0.002548425685309626,Yes,0.0
MochilaPrincipal,38.0,1.1176470588235294,2.0855157908973014,0.0,0.0,0.0,3.124860652630875,0.002643314625786887,Yes,0.0
humedos,18.0,0.5294117647058824,0.9919461775980272,0.0,0.0,0.0,3.112038336636561,0.0027453006200483404,Yes,0.0
caducifolia,0.0,0.0,0.0,14.0,0.4117647058823529,0.7830649595262131,-3.066131567740966,0.0031413548520248286,Yes,-100.0
desambiguacion,0.0,0.0,0.0,14.0,0.4117647058823529,0.7830649595262131,-3.066131567740966,0.0031413548520248286,Yes,-100.0
brindan,14.0,0.4117647058823529,0.7830649595262131,0.0,0.0,0.0,3.0661315677409653,0.0031413548520248416,Yes,0.0
mientras,14.0,0.4117647058823529,0.7830649595262131,0.0,0.0,0.0,3.0661315677409653,0.0031413548520248416,Yes,0.0
esenciales,16.0,0.47058823529411764,0.8956221510397981,0.0,0.0,0.0,3.063766744820282,0.0031631344890821465,Yes,0.0
regulaciones,21.0,0.6176470588235294,1.1810294913915325,0.0,0.0,0.0,3.049432985580488,0.00329818699323549,Yes,0.0
garantiza1,17.0,0.5,0.9613752775282003,0.0,0.0,0.0,3.0326096536605913,0.0034635424123441536,Yes,0.0
correas,17.0,0.5,0.9613752775282003,0.0,0.0,0.0,3.0326096536605913,0.0034635424123441536,Yes,0.0
Fue,0.0,0.0,0.0,9.0,0.2647058823529412,0.511019392943506,-3.020408398577575,0.0035882604952478894,Yes,-100.0
organizacion,18.0,0.5294117647058824,1.022038785887012,0.0,0.0,0.0,3.020408398577575,0.0035882604952478894,Yes,0.0
Para,0.0,0.0,0.0,9.0,0.2647058823529412,0.511019392943506,-3.020408398577575,0.0035882604952478894,Yes,-100.0
espuma,9.0,0.2647058823529412,0.511019392943506,0.0,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
dentro,9.0,0.2647058823529412,0.511019392943506,0.0,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
Se,9.0,0.2647058823529412,0.511019392943506,0.0,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
planta2,0.0,0.0,0.0,9.0,0.2647058823529412,0.511019392943506,-3.0204083985775747,0.0035882604952478963,Yes,-100.0
Convenientes,9.0,0.2647058823529412,0.511019392943506,0.0,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
Descripcion,0.0,0.0,0.0,13.0,0.38235294117647056,0.7391520892561242,-3.016269099768553,0.003631511804942156,Yes,-100.0
superior,15.0,0.4411764705882353,0.8595691828094179,0.0,0.0,0.0,2.9927536126059535,0.0038865645513318395,Yes,0.0
