AOI,Scenario,Oscuro_Total,Oscuro_Mean,Claro_Total,Claro_Mean,t_statistic,p_value,Significant,Difference_%
humedos,Overall,18.0,0.5294117647058824,0.0,0.0,3.112038336636561,0.0027453006200483404,Yes,0.0
caducifolia,Overall,0.0,0.0,14.0,0.4117647058823529,-3.066131567740966,0.0031413548520248286,Yes,-100.0
desambiguacion,Overall,0.0,0.0,14.0,0.4117647058823529,-3.066131567740966,0.0031413548520248286,Yes,-100.0
mientras,Overall,14.0,0.4117647058823529,0.0,0.0,3.0661315677409653,0.0031413548520248416,Yes,0.0
brindan,Overall,14.0,0.4117647058823529,0.0,0.0,3.0661315677409653,0.0031413548520248416,Yes,0.0
esenciales,Overall,16.0,0.47058823529411764,0.0,0.0,3.063766744820282,0.0031631344890821465,Yes,0.0
regulaciones,Overall,21.0,0.6176470588235294,0.0,0.0,3.049432985580488,0.00329818699323549,Yes,0.0
correas,Overall,17.0,0.5,0.0,0.0,3.0326096536605913,0.0034635424123441536,Yes,0.0
garantiza1,Overall,17.0,0.5,0.0,0.0,3.0326096536605913,0.0034635424123441536,Yes,0.0
organizacion,Overall,18.0,0.5294117647058824,0.0,0.0,3.020408398577575,0.0035882604952478894,Yes,0.0
Fue,Overall,0.0,0.0,9.0,0.2647058823529412,-3.020408398577575,0.0035882604952478894,Yes,-100.0
Para,Overall,0.0,0.0,9.0,0.2647058823529412,-3.020408398577575,0.0035882604952478894,Yes,-100.0
espuma,Overall,9.0,0.2647058823529412,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
dentro,Overall,9.0,0.2647058823529412,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
Se,Overall,9.0,0.2647058823529412,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
planta2,Overall,0.0,0.0,9.0,0.2647058823529412,-3.0204083985775747,0.0035882604952478963,Yes,-100.0
Convenientes,Overall,9.0,0.2647058823529412,0.0,0.0,3.0204083985775747,0.0035882604952478963,Yes,0.0
Descripcion,Overall,0.0,0.0,13.0,0.38235294117647056,-3.016269099768553,0.003631511804942156,Yes,-100.0
superior,Overall,15.0,0.4411764705882353,0.0,0.0,2.9927536126059535,0.0038865645513318395,Yes,0.0
ropa,Overall,12.0,0.35294117647058826,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
separado,Overall,12.0,0.35294117647058826,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
región,Overall,0.0,0.0,12.0,0.35294117647058826,-2.977527773470979,0.0040604787967007646,Yes,-100.0
Amplio,Overall,12.0,0.35294117647058826,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
para14,Overall,12.0,0.35294117647058826,0.0,0.0,2.977527773470979,0.0040604787967007646,Yes,0.0
